agent,length,mean_return,return,seed,total_reward
robust-epc,14,2.755474255166621,3.229059230905033,15,13.833333333333334
robust-epc,14,2.683363898023764,3.1855308975716996,12,13.5
nominal-epc-route,14,3.6342578073014855,4.7800976744448,15,14.0
robust-epc,14,2.7815456837380497,3.3107258975716998,28,14.0
nominal-epc-behaviour,14,3.5590959025395814,4.626497674444801,38,13.666666666666668
nominal-epc-route,14,3.5151759025395815,4.571884341111467,12,13.5
robust-epc,14,2.646949386119002,3.165922730905033,10,13.333333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,28,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,15,14.0
nominal-epc-route,14,3.5151759025395815,4.571884341111467,10,13.5
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,12,13.5
nominal-epc-route,14,3.468135140634819,4.5281936744448,34,13.333333333333334
nominal-epc-behaviour,14,3.5212711406348194,4.550551007778133,40,13.5
robust-epc,14,2.7815456837380497,3.3107258975716998,11,14.0
robust-epc,14,2.646949386119002,3.165922730905033,2,13.333333333333334
oracle,14,4.952387848295112,7.4814707545039,38,13.666666666666668
nominal-epc-route,14,3.204086503316724,4.410697238391467,41,12.500000000000002
robust-epc,14,2.406323784067422,3.181104914643083,23,12.333333333333337
robust-epc,14,2.415582425705181,3.125553064816532,26,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,39,14.0
robust-epc,14,2.387492513829327,3.055997297976416,9,12.16666666666667
nominal-epc-behaviour,14,3.097024363227429,4.368748062037334,43,12.16666666666667
nominal-epc-behaviour,8,2.1700733333333337,3.7848533333333334,41,6.5
nominal-epc-route,6,2.02808,3.4162133333333338,9,5.166666666666667
robust-epc,14,2.6095544658809073,3.152197014238366,19,13.166666666666668
oracle,14,4.056470334166667,7.677995925,45,12.166666666666668
oracle,14,4.79001492406666,7.3636804884889004,42,13.333333333333334
nominal-epc-route,7,2.1837958095238097,3.678357333333334,19,6.0
oracle,14,4.89660701496178,7.383055754503901,40,13.5
nominal-epc-route,14,3.6342578073014855,4.7800976744448,44,14.0
robust-epc,14,2.6572924694523357,3.103864230905033,17,13.333333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,46,14.0
robust-epc,14,2.683363898023764,3.1855308975716996,21,13.5
nominal-epc-behaviour,14,3.1260719822750476,4.475414728704,9,12.333333333333337
nominal-epc-route,7,2.1837958095238097,3.678357333333334,21,6.0
robust-epc,14,2.7815456837380497,3.3107258975716998,20,14.0
oracle,14,4.309459119611007,7.000100628753251,41,12.333333333333337
nominal-epc-route,14,3.5032779977776767,4.613527007778133,47,13.5
robust-epc,14,2.7815456837380497,3.3107258975716998,37,14.0
robust-epc,14,2.3761690221626606,3.1239382479764157,22,12.16666666666667
oracle,14,4.693771848176064,7.1430215695039,43,13.0
robust-epc,14,2.415582425705181,3.125553064816532,1,12.333333333333336
nominal-epc-behaviour,14,3.4527208237738662,4.582143783458134,21,13.333333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,37,14.0
oracle,14,5.042079514961779,7.7123207545039,46,14.0
nominal-epc-behaviour,14,3.5590959025395814,4.626497674444801,47,13.666666666666668
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,44,14.0
nominal-epc-route,14,3.090929125132191,4.390081395370667,22,12.16666666666667
robust-epc,14,2.7465317551666213,3.2827142309050332,18,13.833333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,50,14.0
robust-epc,14,2.6095544658809073,3.152197014238366,13,13.166666666666668
nominal-epc-route,11,2.5595366400000006,4.211274240000001,1,9.000000000000002
nominal-epc-behaviour,14,3.3670631101586284,4.465279114444801,49,13.0
nominal-epc-route,6,2.02808,3.4162133333333338,13,5.166666666666667
oracle,14,4.952387848295112,7.4814707545039,47,13.666666666666668
nominal-epc-behaviour,14,3.5151759025395815,4.571884341111467,52,13.5
oracle,14,4.360331985736052,6.9209650592254,48,12.333333333333336
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,50,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,18,14.0
oracle,14,5.001139038771302,7.590820754503901,51,13.833333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,53,14.0
robust-epc,14,2.692306398023764,3.1318758975716996,24,13.5
robust-epc,14,2.7815456837380497,3.3107258975716998,32,14.0
oracle,14,5.042079514961779,7.7123207545039,44,14.0
oracle,14,4.89660701496178,7.383055754503901,52,13.5
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,53,14.0
nominal-epc-route,14,3.5991149501586293,4.694764341111467,24,13.833333333333334
nominal-epc-behaviour,14,3.581125318158628,4.7577280531114665,18,13.833333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,55,14.0
oracle,14,4.807638456628445,7.3362661045039,54,13.333333333333334
robust-epc,14,2.6095544658809073,3.152197014238366,14,13.166666666666668
nominal-epc-route,14,3.1539302879232003,4.377910658935467,56,12.333333333333336
oracle,14,4.689159699497494,7.1501960230038994,49,13.000000000000002
oracle,14,5.042079514961779,7.7123207545039,50,14.0
robust-epc,14,2.415582425705181,3.125553064816532,6,12.333333333333336
nominal-epc-behaviour,14,3.5991149501586293,4.694764341111467,24,13.833333333333334
oracle,14,5.042079514961779,7.7123207545039,53,14.0
nominal-epc-route,6,2.02808,3.4162133333333338,59,5.166666666666667
robust-epc,14,2.646949386119002,3.165922730905033,25,13.333333333333334
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,56,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,55,14.0
nominal-epc-route,6,2.02808,3.4162133333333338,25,5.166666666666667
nominal-epc-behaviour,14,3.5212711406348194,4.550551007778133,58,13.5
nominal-epc-behaviour,14,3.5212711406348194,4.550551007778133,59,13.5
robust-epc,14,2.454880485187693,3.127859946016699,27,12.500000000000002
robust-epc,14,2.532911653654717,3.1358634114050328,35,12.833333333333334
nominal-epc-route,14,3.1539302879232003,4.377910658935467,6,12.333333333333336
oracle,14,4.360331985736052,6.9209650592254,56,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,60,14.0
nominal-epc-route,6,1.94608,3.3308800000000005,27,5.000000000000001
oracle,14,5.042079514961779,7.7123207545039,57,14.0
robust-epc,14,2.6080514999059075,3.1612148100883664,3,13.166666666666668
robust-epc,14,2.53699498698805,3.111363411405033,7,12.833333333333334
oracle,14,4.89660701496178,7.383055754503901,59,13.5
nominal-epc-behaviour,14,3.5300482834919618,4.519831007778134,61,13.5
robust-epc,14,2.4679423388701927,3.0494888239217,4,12.5
oracle,14,4.89660701496178,7.383055754503901,58,13.5
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,6,12.333333333333336
nominal-epc-route,6,1.94608,3.3308800000000005,4,5.000000000000001
nominal-epc-route,14,3.505657578730058,4.6051984744448005,3,13.5
nominal-epc-route,14,3.477833102765105,4.702584140322133,62,13.500000000000002
nominal-epc-route,14,3.594238759682438,4.711831007778134,7,13.833333333333334
nominal-epc-behaviour,14,3.2595198677967234,4.425013796044801,27,12.666666666666668
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,64,14.0
nominal-epc-route,7,2.1915977142857144,3.6647040000000004,65,6.0
oracle,14,4.89660701496178,7.383055754503901,61,13.5
robust-epc,14,2.54540183123805,3.0609223459050336,0,12.833333333333332
robust-epc,14,2.506840225083288,3.0541967447383667,36,12.666666666666666
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,65,13.5
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,3,13.5
robust-epc,14,2.6750981153820974,3.2351255934217,33,13.500000000000002
nominal-epc-behaviour,14,3.4761545822500572,4.7084589621248005,62,13.500000000000002
robust-epc,14,2.571473259809479,3.1425890125716998,8,13.0
oracle,14,5.042079514961779,7.7123207545039,64,14.0
oracle,14,4.729492745029757,7.2726409151389,63,13.166666666666668
robust-epc,14,2.7815456837380497,3.3107258975716998,39,14.0
nominal-epc-route,14,3.3922155346310094,4.5855789621248,36,13.166666666666668
nominal-epc-route,14,3.3490734781586284,4.5282428264448,0,13.000000000000002
robust-epc,14,2.5834830373094784,3.0705303475717,31,13.0
oracle,14,4.875439979247494,7.415982254503901,65,13.5
nominal-epc-route,6,2.02808,3.4162133333333338,68,5.166666666666667
nominal-epc-route,14,3.4921469266310097,4.652485756791467,33,13.500000000000002
nominal-epc-route,14,3.6342578073014855,4.7800976744448,39,14.0
robust-epc,14,2.692306398023764,3.1318758975716996,5,13.5
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,67,14.0
nominal-epc-behaviour,14,3.3922155346310094,4.5855789621248,36,13.166666666666668
nominal-epc-route,14,3.6342578073014855,4.7800976744448,31,14.0
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,68,13.5
nominal-epc-behaviour,14,3.402205967301486,4.550612447778134,0,13.166666666666668
oracle,14,4.813646410549029,7.5121055835904,62,13.500000000000002
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,39,14.0
oracle,14,4.449119297303565,6.9680366486389,66,12.500000000000002
nominal-epc-behaviour,14,3.4833697837738664,4.683205756791467,33,13.500000000000002
nominal-epc-route,14,3.6342578073014855,4.7800976744448,71,14.0
robust-epc,14,2.4288090566162643,3.046193279350033,29,12.333333333333334
oracle,14,4.401272461926529,7.042465059225401,69,12.500000000000004
robust-epc,14,2.389510997133752,3.043886398149866,30,12.166666666666668
robust-epc,14,2.4679423388701927,3.0494888239217,38,12.5
oracle,14,5.042079514961779,7.7123207545039,72,14.0
robust-epc,14,2.5046008057805373,3.0676332605548664,47,12.666666666666668
nominal-epc-behaviour,14,3.474230378730058,4.506860341111467,70,13.333333333333334
robust-epc,14,2.692306398023764,3.1318758975716996,46,13.5
nominal-epc-behaviour,14,3.468135140634819,4.5281936744448,73,13.333333333333334
oracle,14,4.875439979247494,7.415982254503901,68,13.5
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,71,14.0
robust-epc,14,2.415582425705181,3.125553064816532,45,12.333333333333336
oracle,14,5.042079514961779,7.7123207545039,67,14.0
nominal-epc-route,14,3.4009904305395806,4.5548668264448,74,13.166666666666668
nominal-epc-behaviour,14,3.442532647146057,4.617802401655467,76,13.333333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,46,14.0
nominal-epc-route,14,3.147835049827962,4.399243992268801,30,12.333333333333336
nominal-epc-route,10,2.44356288,4.099426133333334,45,8.166666666666668
oracle,14,5.001139038771302,7.590820754503901,75,13.833333333333334
oracle,14,4.8344995030570175,7.2944822545039,73,13.333333333333334
nominal-epc-route,14,3.4537406263491053,4.5785744744448005,77,13.333333333333334
oracle,14,5.042079514961779,7.7123207545039,71,14.0
nominal-epc-behaviour,11,2.8250469872484847,4.3144541184000005,74,9.666666666666666
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,30,12.333333333333336
oracle,14,4.775834047322839,7.385739630090401,76,13.333333333333334
oracle,14,4.89660701496178,7.383055754503901,70,13.5
oracle,14,5.042079514961779,7.7123207545039,78,14.0
robust-epc,14,2.7815456837380497,3.3107258975716998,55,14.0
nominal-epc-behaviour,14,3.147835049827962,4.399243992268801,45,12.333333333333336
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,79,13.5
nominal-epc-behaviour,14,3.468135140634819,4.5281936744448,77,13.333333333333334
robust-epc,14,2.7815456837380497,3.3107258975716998,53,14.0
robust-epc,14,2.454880485187693,3.127859946016699,60,12.500000000000002
nominal-epc-route,14,3.204086503316724,4.410697238391467,80,12.500000000000002
nominal-epc-route,14,3.6342578073014855,4.7800976744448,55,14.0
robust-epc,14,2.454880485187693,3.127859946016699,42,12.500000000000002
robust-epc,14,2.428644279387681,3.047181942721533,40,12.333333333333334
robust-epc,14,2.722461159928526,3.189042564238367,51,13.666666666666668
oracle,14,4.783463514842731,7.3738715695039,74,13.333333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,60,14.0
nominal-epc-route,6,2.02808,3.4162133333333338,42,5.166666666666667
oracle,14,4.401272461926529,7.042465059225401,81,12.500000000000004
nominal-epc-route,6,1.9347022222222223,3.347946666666667,40,5.0
robust-epc,14,2.571473259809479,3.1425890125716998,52,13.0
nominal-epc-behaviour,14,3.182977906970819,4.4845773256021335,80,12.500000000000004
robust-epc,14,2.4288090566162643,3.046193279350033,41,12.333333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,82,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,60,14.0
nominal-epc-behaviour,9,2.314244740740741,3.9596160000000005,42,7.333333333333334
nominal-epc-route,6,2.02808,3.4162133333333338,52,5.166666666666667
robust-epc,14,2.4679423388701927,3.0494888239217,43,12.5
nominal-epc-route,14,3.6052101882538667,4.673431007778134,51,13.833333333333334
oracle,14,4.875439979247494,7.415982254503901,79,13.5
oracle,14,4.1650239274833334,7.742566006500001,84,12.333333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,83,14.0
oracle,14,4.952387848295112,7.4814707545039,77,13.666666666666668
nominal-epc-route,14,3.097024363227429,4.368748062037334,43,12.16666666666667
nominal-epc-behaviour,14,3.182977906970819,4.4845773256021335,85,12.500000000000004
oracle,14,4.401272461926529,7.042465059225401,80,12.500000000000004
oracle,14,5.042079514961779,7.7123207545039,82,14.0
nominal-epc-behaviour,14,3.5991149501586293,4.694764341111467,51,13.833333333333334
nominal-epc-route,14,3.5151759025395815,4.571884341111467,86,13.5
robust-epc,14,2.5755565931428124,3.1180890125717,72,13.0
nominal-epc-behaviour,14,3.5032779977776767,4.613527007778133,88,13.5
robust-epc,14,2.6572924694523357,3.103864230905033,59,13.333333333333334
oracle,14,4.309459119611007,7.000100628753251,85,12.333333333333337
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,83,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,72,14.0
oracle,14,4.89660701496178,7.383055754503901,87,13.5
nominal-epc-route,14,3.407082157777676,4.533545781111467,89,13.166666666666668
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,72,14.0
oracle,14,4.875439979247494,7.415982254503901,88,13.5
nominal-epc-behaviour,14,3.477833102765105,4.702584140322133,86,13.500000000000002
oracle,14,5.042079514961779,7.7123207545039,90,14.0
nominal-epc-behaviour,14,3.532806292177676,4.718511310711467,89,13.666666666666668
robust-epc,14,2.4288090566162643,3.046193279350033,44,12.333333333333334
robust-epc,14,2.7815456837380497,3.3107258975716998,64,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,91,14.0
oracle,14,5.042079514961779,7.7123207545039,83,14.0
robust-epc,14,2.428644279387681,3.047181942721533,56,12.333333333333334
robust-epc,14,2.5731730538150615,3.1323902485381994,54,13.000000000000002
nominal-epc-route,6,2.02808,3.4162133333333338,92,5.166666666666667
nominal-epc-route,14,3.6342578073014855,4.7800976744448,64,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,67,14.0
oracle,14,5.042079514961779,7.7123207545039,93,14.0
oracle,14,4.898282788305827,7.565634181153899,89,13.666666666666668
nominal-epc-behaviour,14,3.468135140634819,4.5281936744448,92,13.333333333333334
robust-epc,14,2.5834830373094784,3.0705303475717,61,13.0
nominal-epc-route,14,3.4092304902729147,4.526026617378133,54,13.166666666666668
oracle,14,4.813646410549029,7.5121055835904,86,13.500000000000002
nominal-epc-route,6,1.9603022222222222,3.309546666666667,95,5.000000000000001
nominal-epc-behaviour,14,3.2595198677967234,4.425013796044801,94,12.666666666666668
robust-epc,14,2.6572924694523357,3.103864230905033,58,13.333333333333334
oracle,14,5.042079514961779,7.7123207545039,91,14.0
nominal-epc-route,6,1.94608,3.3308800000000005,61,5.000000000000001
nominal-epc-route,6,2.02808,3.4162133333333338,58,5.166666666666667
nominal-epc-behaviour,14,3.5212711406348194,4.550551007778133,95,13.5
nominal-epc-behaviour,14,3.4092304902729147,4.526026617378133,54,13.166666666666668
oracle,14,5.042079514961779,7.7123207545039,96,14.0
nominal-epc-behaviour,14,3.468135140634819,4.5281936744448,97,13.333333333333334
oracle,14,4.8344995030570175,7.2944822545039,92,13.333333333333334
oracle,14,4.6162335672355885,7.078451488003901,94,12.833333333333334
nominal-epc-route,14,3.5903378073014856,4.725484341111467,98,13.833333333333334
robust-epc,14,2.493613594172205,3.133556530204866,62,12.666666666666668
robust-epc,14,2.4288090566162643,3.046193279350033,48,12.333333333333334
oracle,14,5.042079514961779,7.7123207545039,99,14.0
robust-epc,14,2.683363898023764,3.1855308975716996,75,13.5
oracle,14,4.89660701496178,7.383055754503901,95,13.5
nominal-epc-behaviour,14,3.5903378073014856,4.725484341111467,98,13.833333333333334
nominal-epc-route,5,1.7504533333333332,3.020266666666667,75,4.166666666666667
nominal-epc-route,6,1.9603022222222222,3.309546666666667,48,5.000000000000001
robust-epc,14,2.532911653654717,3.1358634114050328,57,12.833333333333334
oracle,14,4.8344995030570175,7.2944822545039,97,13.333333333333334
robust-epc,14,2.7815456837380497,3.3107258975716998,71,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,93,14.0
robust-epc,14,2.683363898023764,3.1855308975716996,68,13.5
robust-epc,14,2.646949386119002,3.165922730905033,73,13.333333333333334
nominal-epc-behaviour,14,3.5991149501586293,4.694764341111467,75,13.833333333333334
nominal-epc-behaviour,14,3.097024363227429,4.368748062037334,48,12.16666666666667
nominal-epc-route,7,2.1037577142857145,3.6100906666666672,73,5.833333333333333
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,93,14.0
robust-epc,14,2.506840225083288,3.0541967447383667,63,12.666666666666666
oracle,14,4.986298681628446,7.613905754503901,98,13.833333333333334
robust-epc,14,2.4679423388701927,3.0494888239217,49,12.5
nominal-epc-route,14,3.405791959907962,4.538061473655467,57,13.166666666666668
nominal-epc-route,6,1.9603022222222222,3.309546666666667,63,5.000000000000001
robust-epc,14,2.454880485187693,3.127859946016699,66,12.500000000000002
robust-epc,14,2.4940137674416216,3.131155490588366,69,12.666666666666668
robust-epc,14,2.5834830373094784,3.0705303475717,76,13.0
nominal-epc-route,9,2.314244740740741,3.9596160000000005,66,7.333333333333334
nominal-epc-route,14,3.182977906970819,4.4845773256021335,69,12.500000000000004
nominal-epc-behaviour,9,2.314244740740741,3.9596160000000005,66,7.333333333333334
nominal-epc-route,14,3.447408837622248,4.600735734988801,76,13.333333333333334
nominal-epc-behaviour,14,3.359892363888153,4.4903767263914665,63,13.000000000000002
nominal-epc-route,14,3.3670631101586284,4.465279114444801,49,13.0
robust-epc,14,2.7513909218332877,3.253559230905033,78,13.833333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,57,14.0
robust-epc,14,2.7815456837380497,3.3107258975716998,99,14.0
nominal-epc-behaviour,14,3.182977906970819,4.4845773256021335,69,12.500000000000004
nominal-epc-route,14,3.6342578073014855,4.7800976744448,91,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,99,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,99,14.0
nominal-epc-route,14,3.6342578073014855,4.7800976744448,78,14.0
robust-epc,14,2.60765132663649,3.163615849704866,74,13.166666666666668
robust-epc,14,2.454880485187693,3.127859946016699,85,12.500000000000002
robust-epc,14,2.530672234351966,3.149299927221533,82,12.833333333333336
robust-epc,14,2.5834830373094784,3.0705303475717,81,13.0
robust-epc,14,2.532911653654717,3.1358634114050328,88,12.833333333333334
nominal-epc-route,14,3.182977906970819,4.4845773256021335,85,12.500000000000004
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,78,14.0
robust-epc,14,2.7815456837380497,3.3107258975716998,90,14.0
nominal-epc-route,7,2.1837958095238097,3.678357333333334,88,6.0
nominal-epc-route,14,3.5991149501586293,4.694764341111467,82,13.833333333333334
nominal-epc-route,14,3.182977906970819,4.4845773256021335,81,12.500000000000004
robust-epc,14,2.532911653654717,3.1358634114050328,79,12.833333333333334
nominal-epc-route,14,3.6342578073014855,4.7800976744448,90,14.0
nominal-epc-behaviour,14,3.182977906970819,4.4845773256021335,81,12.500000000000004
robust-epc,14,2.7815456837380497,3.3107258975716998,96,14.0
robust-epc,14,2.4677069428293597,3.0509012001666997,80,12.5
robust-epc,14,2.692306398023764,3.1318758975716996,70,13.5
nominal-epc-route,14,3.4537406263491053,4.5785744744448005,79,13.333333333333334
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,90,14.0
nominal-epc-route,6,2.02808,3.4162133333333338,70,5.166666666666667
nominal-epc-route,14,3.6342578073014855,4.7800976744448,96,14.0
nominal-epc-behaviour,14,3.6342578073014855,4.7800976744448,96,14.0
robust-epc,14,2.5834830373094784,3.0705303475717,77,13.0
robust-epc,14,2.454880485187693,3.127859946016699,84,12.500000000000002
robust-epc,14,2.506840225083288,3.0541967447383667,87,12.666666666666666
nominal-epc-route,6,1.9603022222222222,3.309546666666667,87,5.000000000000001
nominal-epc-route,9,2.3218299259259263,3.942549333333334,84,7.333333333333334
robust-epc,14,2.4940137674416216,3.131155490588366,83,12.666666666666668
nominal-epc-behaviour,10,2.5179483648,4.1217957546666675,84,8.333333333333334
nominal-epc-behaviour,14,3.5300482834919618,4.519831007778134,87,13.5
robust-epc,14,2.571473259809479,3.1425890125716998,89,13.0
robust-epc,14,2.506840225083288,3.0541967447383667,94,12.666666666666666
nominal-epc-route,14,3.097024363227429,4.368748062037334,94,12.16666666666667
robust-epc,14,2.4940137674416216,3.131155490588366,97,12.666666666666668
robust-epc,14,2.6136377992142408,3.1276970142383664,92,13.166666666666668
robust-epc,14,2.5834830373094784,3.0705303475717,95,13.0
nominal-epc-route,14,3.468135140634819,4.5281936744448,97,13.333333333333334
robust-epc,14,2.6572924694523357,3.103864230905033,98,13.333333333333334
robust-epc,14,2.532911653654717,3.1358634114050328,86,12.833333333333334
robust-epc,14,3.4861282834919622,4.4652176744448004,65,13.333333333333334
robust-epc,14,3.1750388842691053,4.3040305717248,34,12.333333333333334
robust-epc,14,3.4861282834919622,4.4652176744448004,93,13.333333333333334
robust-epc,14,3.2848830019681516,4.3362428264448,67,12.666666666666666
robust-epc,14,4.583971662473684,6.943451488003901,50,12.666666666666666
robust-epc,14,4.583971662473684,6.943451488003901,91,12.666666666666666
