agent,time,seed,reward,return,value
robust-epc,0,9,0.5938268331793419,10.995526324459911,13.878616348047549
robust-epc,1,9,0.5959829966914312,10.506767162909664,13.41770043654562
robust-epc,2,9,0.5996339992544147,10.010893097190134,12.951229066024329
robust-epc,3,9,0.6031775916920773,9.506322321147193,12.473399441341542
robust-epc,4,9,0.6059943462979167,8.993075484298096,10.946089748989781
robust-epc,5,9,0.6087687027536391,8.47179912929311,10.13206210904054
robust-epc,6,9,0.6092693662546858,7.942454976302496,8.935688620525044
robust-epc,7,9,0.6079362892170159,7.407258191967486,8.107256006345102
robust-epc,8,9,0.6051084507126556,6.868001921970172,7.218808278750592
robust-epc,9,9,0.6023766364355028,6.326155021472237,6.402519931253222
robust-epc,10,9,0.6017644763276575,5.781594328319935,5.85887588452483
robust-epc,11,9,0.6030214340757932,5.232151365648765,5.310820875169
robust-epc,12,9,0.6045337349424725,4.6758888197706785,4.7551183547712625
robust-epc,13,9,0.6039194092857415,4.112479883664855,4.2325892399770995
robust-epc,14,9,0.6030939525829457,3.5440004791708217,3.562110158728788
robust-epc,15,9,0.6041842366775687,2.9706126531190664,2.988730103908747
robust-epc,16,9,0.6053740363887892,2.3903317337792904,2.4070274033775836
robust-epc,17,9,0.6062382973716869,1.8029875731217186,1.8104463596639087
robust-epc,18,9,0.6071925515091185,1.2088376522727593,1.215941054651935
robust-epc,19,9,0.6077223240036775,0.6077223240036775,0.6077878382873858
robust-epc,0,22,0.6349280741972774,13.860052908318934,14.988170267585886
robust-epc,1,22,0.636719142592994,13.35871195365824,14.763236988290906
robust-epc,2,22,0.6388995996020401,12.850497788954792,13.060551958013939
robust-epc,3,22,0.6421630008514869,12.334947666012882,12.948409617861126
robust-epc,4,22,0.6471756275147247,11.810893601173127,12.37989247828579
robust-epc,5,22,0.6534565670269337,11.276482801675154,11.48618698698097
robust-epc,6,22,0.6628211063948184,10.7303295299477,11.040280979303544
robust-epc,7,22,0.6749838811207539,10.169200427831193,10.502148029439484
robust-epc,8,22,0.6919570568765299,9.590117723949938,9.855724810700307
robust-epc,9,22,0.7122046104987122,8.988041077851927,9.322893943506603
robust-epc,10,22,0.7414392648023145,8.359430775104256,8.681466240495348
robust-epc,11,22,0.7830385923845786,7.694940919496911,7.855272906634713
robust-epc,12,22,0.843760156562442,6.981719522335689,7.150529587766853
robust-epc,13,22,0.8835461178528238,6.199958955326512,6.255081608328434
robust-epc,14,22,0.8793078973423183,5.37011397724615,5.425513580119959
robust-epc,15,22,0.8779656238926088,4.536167757478618,4.5668309704430285
robust-epc,16,22,0.9111932295342158,3.6951536702888985,3.728819626524118
robust-epc,17,22,0.9444445457698776,2.812081253287558,2.8472592931914322
robust-epc,18,22,0.9541653070475566,1.8865017247653342,1.886718337076279
robust-epc,19,22,0.9417539572906843,0.9417539572906843,0.9427088613840878
robust-epc,0,19,0.6732482395768025,13.70208418733089,15.584905228701327
robust-epc,1,19,0.6780790680799438,13.160440351266756,14.868387503004874
robust-epc,2,19,0.6834424416557774,12.608445740592739,14.30110479447606
robust-epc,3,19,0.6837799586208574,12.045457877714103,12.504544007793362
robust-epc,4,19,0.6839795780274341,11.476442342518428,12.429651509489153
robust-epc,5,19,0.6834164781102481,10.901477539889894,11.82545146560827
robust-epc,6,19,0.6817967146676572,10.321273799777417,10.772380025524223
robust-epc,7,19,0.682457422691022,9.736845540514912,9.785262721668447
robust-epc,8,19,0.6898603017414153,9.145846583660495,9.201854659335844
